"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","blog.rca.fr/145.239.37.162","443","INFO","HTTP","",""
"pre_128cipher","blog.rca.fr/145.239.37.162","443","INFO","No 128 cipher limit bug","",""
"SSLv2","blog.rca.fr/145.239.37.162","443","OK","not offered","",""
"SSLv3","blog.rca.fr/145.239.37.162","443","OK","not offered","",""
"TLS1","blog.rca.fr/145.239.37.162","443","INFO","not offered","",""
"TLS1_1","blog.rca.fr/145.239.37.162","443","INFO","not offered","",""
"TLS1_2","blog.rca.fr/145.239.37.162","443","OK","offered","",""
"TLS1_3","blog.rca.fr/145.239.37.162","443","OK","offered with final","",""
"ALPN_HTTP2","blog.rca.fr/145.239.37.162","443","OK","h2","",""
"cipherlist_NULL","blog.rca.fr/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","blog.rca.fr/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","blog.rca.fr/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_LOW","blog.rca.fr/145.239.37.162","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","blog.rca.fr/145.239.37.162","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","blog.rca.fr/145.239.37.162","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","blog.rca.fr/145.239.37.162","443","INFO","not offered","",""
"cipherlist_STRONG_FS","blog.rca.fr/145.239.37.162","443","OK","offered","",""
"cipher_order-tls1_2","blog.rca.fr/145.239.37.162","443","OK","server","",""
"cipherorder_TLSv1_2","blog.rca.fr/145.239.37.162","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","blog.rca.fr/145.239.37.162","443","OK","server","",""
"FS","blog.rca.fr/145.239.37.162","443","OK","offered","",""
"FS_ciphers","blog.rca.fr/145.239.37.162","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","blog.rca.fr/145.239.37.162","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","blog.rca.fr/145.239.37.162","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","blog.rca.fr/145.239.37.162","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","blog.rca.fr/145.239.37.162","443","INFO","yes","",""
"sessionresumption_ticket","blog.rca.fr/145.239.37.162","443","INFO","not supported","",""
"sessionresumption_ID","blog.rca.fr/145.239.37.162","443","INFO","not supported","",""
"TLS_timestamp","blog.rca.fr/145.239.37.162","443","INFO","random","",""
"certificate_compression","blog.rca.fr/145.239.37.162","443","INFO","none","",""
"clientAuth","blog.rca.fr/145.239.37.162","443","INFO","none","",""
"cert_numbers","blog.rca.fr/145.239.37.162","443","INFO","1","",""
"cert_signatureAlgorithm","blog.rca.fr/145.239.37.162","443","OK","SHA256 with RSA","",""
"cert_keySize","blog.rca.fr/145.239.37.162","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","blog.rca.fr/145.239.37.162","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","blog.rca.fr/145.239.37.162","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","blog.rca.fr/145.239.37.162","443","INFO","03FDF23D1638510C0F2556546140DB60BA39","",""
"cert_serialNumberLen","blog.rca.fr/145.239.37.162","443","INFO","18","",""
"cert_fingerprintSHA1","blog.rca.fr/145.239.37.162","443","INFO","70D2F73E3B4576B88C6263A867AB4111A4E3886E","",""
"cert_fingerprintSHA256","blog.rca.fr/145.239.37.162","443","INFO","D0EAF3448E4C0F2AD4FC4029EDDB02BC7D4668E01062371BFEE4D71EA32D8FB0","",""
"cert","blog.rca.fr/145.239.37.162","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE4zCCA8ugAwIBAgISA/3yPRY4UQwPJVZUYUDbYLo5MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAxMDkwOTE1MTBaFw0yNDA0MDgwOTE1MDlaMBYxFDASBgNVBAMTC2Jsb2cucmNhLmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEArcgYDkWUKo/2ySWoTbqtrk25QApJZ07qlK6AgTH89U8HfRnWEn4jZCBuWGktPrflhc4zixsAWgIPyTSKiMkaWyvVsrl+3OqMGu2+Yq80MRYetxLlFA/YYLb6pFwpn5nZCSH1tFFDOlBGsGX/gslGOUsxA5PSbwasU1foN5Qm8gAzuM1nk6ntGuXr8ezBPO+fM5a7mSWwoIxifV3WD0/XgTd1LEhhEPzsqDZTgxL/lUp8yieT6oY/HZEvz8wyrcUcCOhlNhdEuXpbRsAgeSLlJt1CNz+X/Fnfw1PIn2jWYV+RUQ6EObwmwioaC0T5fX47FMGxWYcaKe+p3qxio+1KEQIDAQABo4ICDTCCAgkwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBT/xT4jAwgdWBqdaS3BIaN1bXwpNzAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAWBgNVHREEDzANggtibG9nLnJjYS5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB2AEiw42vapkc0D+VqAvqdMOscUgHLVt0sgdm7v6s52IRzAAABjO24CJIAAAQDAEcwRQIhAJbluiFXXYC4lQlhIS0YzK20QoX6mpKhCBEulfvwdMbAAiBwJSV2rXs3Gx2mdBQCdEsoJlXlIVKZCtoer5za7h2BvwB2AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABjO24CQQAAAQDAEcwRQIgENsHgIhAN7pZFIb4Ul8LFkm9dF47K0iUJerpQwHS6+ECIQDdQ8uSQRmF8FHAQkyaCDGTkzlh/u9gMrIaEaFk4RtmaTANBgkqhkiG9w0BAQsFAAOCAQEAMrhQXzD9ZJwMwrmxJXUWFI6zpeU8+fCTR2mU6rzxotVhNR+ynmux2a9ogI0pC2Y2OeWwCXYHaA/2MGaZxVn8OVZisz5+Z05HzaOe+oyxMB6QpCGJgVpVd9PpeuhvLFDRdnf7tCm5NzZJbMSX/MiQ5Y1Yri2DpJDduPojJU812uVZyhEF0m0LZDTqspVfV8gP/3wAzBJ1lyUKygKWDffxqS8wj20+N2yxwaIvaA+WToLqkpq3yGO215Hs2TXJEC623RVyuss8SdDOwTpONSeYj02vhrqjc6hQf91M0820/QaQSyCksk8xf2GIoEWv+3vx62xr1LDT4IXeBD93wumcsg==\n-----END CERTIFICATE-----","",""
"cert_commonName","blog.rca.fr/145.239.37.162","443","OK","blog.rca.fr","",""
"cert_commonName_wo_SNI","blog.rca.fr/145.239.37.162","443","INFO","cluster030.hosting.ovh.net","",""
"cert_subjectAltName","blog.rca.fr/145.239.37.162","443","INFO","blog.rca.fr","",""
"cert_trust","blog.rca.fr/145.239.37.162","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","blog.rca.fr/145.239.37.162","443","OK","passed.","",""
"cert_certificatePolicies_EV","blog.rca.fr/145.239.37.162","443","INFO","no","",""
"cert_expirationStatus","blog.rca.fr/145.239.37.162","443","OK","71 >= 30 days","",""
"cert_notBefore","blog.rca.fr/145.239.37.162","443","INFO","2024-01-09 09:15","",""
"cert_notAfter","blog.rca.fr/145.239.37.162","443","OK","2024-04-08 09:15","",""
"cert_extlifeSpan","blog.rca.fr/145.239.37.162","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","blog.rca.fr/145.239.37.162","443","INFO","not present","",""
"cert_crlDistributionPoints","blog.rca.fr/145.239.37.162","443","INFO","--","",""
"cert_ocspURL","blog.rca.fr/145.239.37.162","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","blog.rca.fr/145.239.37.162","443","LOW","not offered","",""
"cert_mustStapleExtension","blog.rca.fr/145.239.37.162","443","INFO","--","",""
