"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","lacomptasimplifiee.fr/51.91.236.193","443","INFO","HTTP","",""
"pre_128cipher","lacomptasimplifiee.fr/51.91.236.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","lacomptasimplifiee.fr/51.91.236.193","443","OK","not offered","",""
"SSLv3","lacomptasimplifiee.fr/51.91.236.193","443","OK","not offered","",""
"TLS1","lacomptasimplifiee.fr/51.91.236.193","443","INFO","not offered","",""
"TLS1_1","lacomptasimplifiee.fr/51.91.236.193","443","INFO","not offered","",""
"TLS1_2","lacomptasimplifiee.fr/51.91.236.193","443","OK","offered","",""
"TLS1_3","lacomptasimplifiee.fr/51.91.236.193","443","OK","offered with final","",""
"ALPN_HTTP2","lacomptasimplifiee.fr/51.91.236.193","443","OK","h2","",""
"cipherlist_NULL","lacomptasimplifiee.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","lacomptasimplifiee.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","lacomptasimplifiee.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","lacomptasimplifiee.fr/51.91.236.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","lacomptasimplifiee.fr/51.91.236.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","lacomptasimplifiee.fr/51.91.236.193","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","lacomptasimplifiee.fr/51.91.236.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","lacomptasimplifiee.fr/51.91.236.193","443","OK","offered","",""
"cipher_order-tls1_2","lacomptasimplifiee.fr/51.91.236.193","443","OK","server","",""
"cipherorder_TLSv1_2","lacomptasimplifiee.fr/51.91.236.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","lacomptasimplifiee.fr/51.91.236.193","443","OK","server","",""
"FS","lacomptasimplifiee.fr/51.91.236.193","443","OK","offered","",""
"FS_ciphers","lacomptasimplifiee.fr/51.91.236.193","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","lacomptasimplifiee.fr/51.91.236.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","lacomptasimplifiee.fr/51.91.236.193","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","lacomptasimplifiee.fr/51.91.236.193","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","lacomptasimplifiee.fr/51.91.236.193","443","INFO","yes","",""
"sessionresumption_ticket","lacomptasimplifiee.fr/51.91.236.193","443","INFO","not supported","",""
"sessionresumption_ID","lacomptasimplifiee.fr/51.91.236.193","443","INFO","not supported","",""
"TLS_timestamp","lacomptasimplifiee.fr/51.91.236.193","443","INFO","random","",""
"certificate_compression","lacomptasimplifiee.fr/51.91.236.193","443","INFO","none","",""
"clientAuth","lacomptasimplifiee.fr/51.91.236.193","443","INFO","none","",""
"cert_numbers","lacomptasimplifiee.fr/51.91.236.193","443","INFO","1","",""
"cert_signatureAlgorithm","lacomptasimplifiee.fr/51.91.236.193","443","OK","SHA256 with RSA","",""
"cert_keySize","lacomptasimplifiee.fr/51.91.236.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","lacomptasimplifiee.fr/51.91.236.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","lacomptasimplifiee.fr/51.91.236.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","lacomptasimplifiee.fr/51.91.236.193","443","INFO","03B23EA6CC42C43927DA9940CD7952A0076C","",""
"cert_serialNumberLen","lacomptasimplifiee.fr/51.91.236.193","443","INFO","18","",""
"cert_fingerprintSHA1","lacomptasimplifiee.fr/51.91.236.193","443","INFO","A9043389CD0743414F3332D206F4B12925EBEF96","",""
"cert_fingerprintSHA256","lacomptasimplifiee.fr/51.91.236.193","443","INFO","6CC90CE69D4B3B5876868C732B4E5D6B8C61A7244A99F7945F637C8CFAB48199","",""
