"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","mon-expert-en-gestion.fr/54.37.63.101","443","INFO","HTTP","",""
"pre_128cipher","mon-expert-en-gestion.fr/54.37.63.101","443","INFO","No 128 cipher limit bug","",""
"SSLv2","mon-expert-en-gestion.fr/54.37.63.101","443","OK","not offered","",""
"SSLv3","mon-expert-en-gestion.fr/54.37.63.101","443","OK","not offered","",""
"TLS1","mon-expert-en-gestion.fr/54.37.63.101","443","LOW","offered (deprecated)","",""
"TLS1_1","mon-expert-en-gestion.fr/54.37.63.101","443","LOW","offered (deprecated)","",""
"TLS1_2","mon-expert-en-gestion.fr/54.37.63.101","443","OK","offered","",""
"TLS1_3","mon-expert-en-gestion.fr/54.37.63.101","443","OK","offered with final","",""
"ALPN_HTTP2","mon-expert-en-gestion.fr/54.37.63.101","443","OK","h2","",""
"ALPN","mon-expert-en-gestion.fr/54.37.63.101","443","INFO","http/1.1","",""
"cipherlist_NULL","mon-expert-en-gestion.fr/54.37.63.101","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","mon-expert-en-gestion.fr/54.37.63.101","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","mon-expert-en-gestion.fr/54.37.63.101","443","OK","not offered","","CWE-327"
"cipherlist_LOW","mon-expert-en-gestion.fr/54.37.63.101","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","mon-expert-en-gestion.fr/54.37.63.101","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","mon-expert-en-gestion.fr/54.37.63.101","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","mon-expert-en-gestion.fr/54.37.63.101","443","INFO","not offered","",""
"cipherlist_STRONG_FS","mon-expert-en-gestion.fr/54.37.63.101","443","OK","offered","",""
"cipher_order-tls1","mon-expert-en-gestion.fr/54.37.63.101","443","OK","server","",""
"cipherorder_TLSv1","mon-expert-en-gestion.fr/54.37.63.101","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","mon-expert-en-gestion.fr/54.37.63.101","443","OK","server","",""
"cipherorder_TLSv1_1","mon-expert-en-gestion.fr/54.37.63.101","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","mon-expert-en-gestion.fr/54.37.63.101","443","OK","server","",""
