"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","rca.fr/146.59.209.152","443","INFO","HTTP","",""
"pre_128cipher","rca.fr/146.59.209.152","443","INFO","No 128 cipher limit bug","",""
"SSLv2","rca.fr/146.59.209.152","443","OK","not offered","",""
"SSLv3","rca.fr/146.59.209.152","443","OK","not offered","",""
"TLS1","rca.fr/146.59.209.152","443","INFO","not offered","",""
"TLS1_1","rca.fr/146.59.209.152","443","INFO","not offered","",""
"TLS1_2","rca.fr/146.59.209.152","443","OK","offered","",""
"TLS1_3","rca.fr/146.59.209.152","443","OK","offered with final","",""
"ALPN_HTTP2","rca.fr/146.59.209.152","443","OK","h2","",""
"cipherlist_NULL","rca.fr/146.59.209.152","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","rca.fr/146.59.209.152","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","rca.fr/146.59.209.152","443","OK","not offered","","CWE-327"
"cipherlist_LOW","rca.fr/146.59.209.152","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","rca.fr/146.59.209.152","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","rca.fr/146.59.209.152","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","rca.fr/146.59.209.152","443","INFO","not offered","",""
"cipherlist_STRONG_FS","rca.fr/146.59.209.152","443","OK","offered","",""
"cipher_order-tls1_2","rca.fr/146.59.209.152","443","OK","server","",""
"cipherorder_TLSv1_2","rca.fr/146.59.209.152","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","rca.fr/146.59.209.152","443","OK","server","",""
"FS","rca.fr/146.59.209.152","443","OK","offered","",""
"FS_ciphers","rca.fr/146.59.209.152","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","rca.fr/146.59.209.152","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","rca.fr/146.59.209.152","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","rca.fr/146.59.209.152","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","rca.fr/146.59.209.152","443","INFO","yes","",""
"sessionresumption_ticket","rca.fr/146.59.209.152","443","INFO","not supported","",""
"sessionresumption_ID","rca.fr/146.59.209.152","443","INFO","not supported","",""
"TLS_timestamp","rca.fr/146.59.209.152","443","INFO","random","",""
"certificate_compression","rca.fr/146.59.209.152","443","INFO","none","",""
"clientAuth","rca.fr/146.59.209.152","443","INFO","none","",""
"cert_numbers","rca.fr/146.59.209.152","443","INFO","1","",""
"cert_signatureAlgorithm","rca.fr/146.59.209.152","443","OK","SHA256 with RSA","",""
"cert_keySize","rca.fr/146.59.209.152","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","rca.fr/146.59.209.152","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","rca.fr/146.59.209.152","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","rca.fr/146.59.209.152","443","INFO","047DC0AD21E9DC6FC11D3BD6A9A07569A9AA","",""
"cert_serialNumberLen","rca.fr/146.59.209.152","443","INFO","18","",""
"cert_fingerprintSHA1","rca.fr/146.59.209.152","443","INFO","C28942CDA35913FFFE568BD469400478D760F9BC","",""
"cert_fingerprintSHA256","rca.fr/146.59.209.152","443","INFO","8C095DC5EDF260A13CCB0A8C8FA36FD4FFC4F4F80A78D44CFF9CF90C321A073A","",""
"cert","rca.fr/146.59.209.152","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE5TCCA82gAwIBAgISBH3ArSHp3G/BHTvWqaB1aamqMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAyMTUyMzIwMzBaFw0yNDA1MTUyMzIwMjlaMBExDzANBgNVBAMTBnJjYS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANB3C2EOXO2RC9PQJXzXPszvFkgQ7958qSC4GH4+Lpc+nXnYod0ZEtQdxByxCqCcdBLeyGsCMzx6PEY10QI85v/VBmDS6gEdbra/FAoIcTqyxldPwq45DGoB+aRtnkBtgLtxZOH/Ap4FvTAXwypwjDOCc8Y9IirE69d9EXc5IDiw2EYMMdpCigJM8UwSZRa9jRp5+KWSTy/bfkWYRpUvBt0Ch2tSJ6R+t0sQbvGMpR/+lF+pipV0NM7u5mjYm9FbEu3aYS4YOx0WxrbZjtcO5BJpi+Gv+zoMgJ0z8kOpiOHBYEiRstUO6sARb0fDU9Z38/RJ5xAj/OkFkz4TEskvZ90CAwEAAaOCAhQwggIQMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUDxCyJFdFXXAhQqRQD3dF/3+FFnMwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wHQYDVR0RBBYwFIIGcmNhLmZyggp3d3cucmNhLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBAYKKwYBBAHWeQIEAgSB9QSB8gDwAHYA7s3QZNXbGs7FXLedtM0TojKHRny87N7DUUhZRnEftZsAAAGNr0lERQAABAMARzBFAiAhf8EGDvAYTMituts9CFkD1sAgppGWY82kaHf8Hyr8wgIhALykljgY6RtC7KuETlUX232Ok3m+91uLEDQcf87O+3TeAHYAouK/1h7eLy8HoNZObTen3GVDsMa1LqLat4r4mm31F9gAAAGNr0lEbgAABAMARzBFAiAV85MS94mW/oAp07i6dwBUdTNGaaChHHUPJHFB/uXMUQIhAOlXBwWO9hcqDlHDtoqntvjcWlov0x3TAiDiVMQKwYdVMA0GCSqGSIb3DQEBCwUAA4IBAQAFkjosODtNiYhNta1P8XxVLiF9xUQFJLsLwoTEj3ryS/gOKzgPZUEJ8ch9qcq60u5TinLxrbDzuFmsK2yGWCBqazWGKSA99JSuY+98SS7mWCmloBS6a5chL+RSkuEtoyU2IjNYYWINbDm9kp/6SRQuRFiKdOR+YSaPfPO+6Zo6GMSPpa6y/4d/K6bLClog9ViEH1O/U3tka5N7ChM1MVCj0Ms5hSVIR0rEFz3qJdw8oHvWPo+pRPmaPGEBi/cYKjSntzecHD69VMCeQeF0kGuEDq+w8icL7t/jZ40di6ZBWm449WaPMym4/gNxCsPtg8R9gRwbG7B89tYyq048A6vS\n-----END CERTIFICATE-----","",""
"cert_commonName","rca.fr/146.59.209.152","443","OK","rca.fr","",""
"cert_commonName_wo_SNI","rca.fr/146.59.209.152","443","INFO","cluster031.hosting.ovh.net","",""
"cert_subjectAltName","rca.fr/146.59.209.152","443","INFO","rca.fr www.rca.fr","",""
"cert_trust","rca.fr/146.59.209.152","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","rca.fr/146.59.209.152","443","OK","passed.","",""
"cert_certificatePolicies_EV","rca.fr/146.59.209.152","443","INFO","no","",""
